"678","genéricos","4","",""
"680","extjs","48","5136","5135"
"681","autocompletar","52","32396","32395"
"682","jquery-ui","116","5026","5025"
"683","jspdf","46","5021","5020"
"684","fecha","208","10032","10031"
"686","android-drawerlayout","32","26794","26793"
"687","drag-and-drop","29","5280","5279"
"688","agarrar-y-soltar","1","5278","5277"
"689","django-smart-selects","4","",""
"690","oauth2","41","5284","5283"
"692","formulas","37","5163","5162"
"695","date","294","9643","9642"
"698","animación","64","5282","5281"
"699","pyqt","116","27818","27817"
"700","bluetooth","68","5276","5275"
"701","odoo","80","5913","5912"
"702","álgebra-relacional","3","7123","7122"
"703","prestashop","111","5689","5688"
"704","odata","8","15591","15590"
"705","apache-shiro","1","5389","5388"
"707","materialize","144","11632","11631"
"708","wso2","7","",""
"709","kerberos","2","5909","5908"
"710","java-stream","14","26787","26786"
"711","magento-1.9","5","9811","9810"
"712","eficiencia","20","15075","15074"
"715","angularjs-injector","6","",""
"717","richfaces","10","17014","17013"
"718","unreal-engine","5","5907","5906"
"720","soundpool","4","9818","9817"
"721","slack-api","3","9821","9820"
"722","árboles","17","7121","7120"
"723","árboles-binarios","45","5901","5900"
"724","webpack","90","5692","5691"
"728","wireshark","8","5896","5895"
"729","twig","62","9871","9870"
"731","indices","24","31813","31812"
"733","autenticación","93","5794","5793"
"735","handlebars.js","18","5808","5807"
"737","plotly","8","5850","5849"
"738","reportviewer","93","5853","5852"
"739","lua","31","5861","5860"
"740","polymer","25","5880","5879"
"741","hashmap","45","5911","5910"
"742","map","88","5905","5904"
"743","bitmap","51","5899","5898"
"744","jquery-validate","72","6098","6097"
"745","mybatis","11","5987","5986"
"746","spritekit","9","17247","17246"
"747","rubygems","67","17152","17151"
"748","electron","56","5996","5995"
"749","google-plus","3","7127","7126"
"750","google+","6","7129","7128"
"752","grails","40","6300","6299"
"753","heroku","87","6624","6623"
"754","generator","5","",""
"757","paypal","49","7115","7114"
"758","matlab","83","6090","6089"
"759","modulación","3","15103","15102"
"760","frecuencia","5","",""
"761","local-storage","68","6109","6108"
"762","jenkins","35","16012","16011"
"763","react-native","240","6190","6189"
"764","angular2-template","21","7076","7075"
"766","trigger","209","9653","9652"
"767","intel-xdk","4","6238","6237"
"770","sobrecarga","12","31614","31613"
"771","mongoose","210","6373","6372"
"774","jasper-reports","128","15515","15514"
